#ID I L O Z T J S Perfect
774 0 4 2 0 3 0 1 0
775 0 0 2 4 3 0 1 0
776 0 0 2 0 3 4 1 0
777 4 0 2 0 0 3 1 1
778 0 4 2 0 0 3 1 0
779 0 0 2 4 0 3 1 0
780 0 0 2 0 4 3 1 1
781 3 4 0 2 0 0 1 1
782 3 0 4 2 0 0 1 0
783 3 0 0 2 4 0 1 0
784 3 0 0 2 0 4 1 1
785 4 3 0 2 0 0 1 1
786 0 3 4 2 0 0 1 0
787 0 3 0 2 4 0 1 0
788 0 3 0 2 0 4 1 1
789 4 0 3 2 0 0 1 0
790 0 4 3 2 0 0 1 0
791 0 0 3 2 4 0 1 0
792 0 0 3 2 0 4 1 1
793 4 0 0 2 3 0 1 0
794 0 4 0 2 3 0 1 0
795 0 0 4 2 3 0 1 0
796 0 0 0 2 3 4 1 1
797 4 0 0 2 0 3 1 1
798 0 4 0 2 0 3 1 1
799 0 0 4 2 0 3 1 1
800 0 0 0 2 4 3 1 1
801 3 4 0 0 2 0 1 1
802 3 0 4 0 2 0 1 1
803 3 0 0 4 2 0 1 1
804 3 0 0 0 2 4 1 1
805 4 3 0 0 2 0 1 1
806 0 3 4 0 2 0 1 0
807 0 3 0 4 2 0 1 1
808 0 3 0 0 2 4 1 1
809 4 0 3 0 2 0 1 1
810 0 4 3 0 2 0 1 0
811 0 0 3 4 2 0 1 1
812 0 0 3 0 2 4 1 1
813 4 0 0 3 2 0 1 1
814 0 4 0 3 2 0 1 1
815 0 0 4 3 2 0 1 1
816 0 0 0 3 2 4 1 1
817 4 0 0 0 2 3 1 1
818 0 4 0 0 2 3 1 1
819 0 0 4 0 2 3 1 1
820 0 0 0 4 2 3 1 1
821 3 4 0 0 0 2 1 1
822 3 0 4 0 0 2 1 1
823 3 0 0 4 0 2 1 1
824 3 0 0 0 4 2 1 1
825 4 3 0 0 0 2 1 1
826 0 3 4 0 0 2 1 0
827 0 3 0 4 0 2 1 0
828 0 3 0 0 4 2 1 
1
829 4 0 3 0 0 2 1 1
830 0 4 3 0 0 2 1 0
831 0 0 3 4 0 2 1 0
832 0 0 3 0 4 2 1 
1
833 4 0 0 3 0 2 1 1
834 0 4 0 3 0 2 1 0
835 0 0 4 3 0 2 1 0
836 0 0 0 3 4 2 1 
1
837 4 0 0 0 3 2 1 1
838 0 4 0 0 3 2 1 
1
839 0 0 4 0 3 2 1 
1
840 0 0 0 4 3 2 1 
1
