#ID I L O Z T J S Perfect
177 4 1 0 2 0 0 3 1
178 0 1 4 2 0 0 3 0
179 0 1 0 2 4 0 3 0
180 0 1 0 2 0 4 3 1
181 3 1 4 0 2 0 0 1
182 3 1 0 4 2 0 0 1
183 3 1 0 0 2 4 0 1
184 3 1 0 0 2 0 4 1
185 4 1 3 0 2 0 0 1
186 0 1 3 4 2 0 0 0
187 0 1 3 0 2 4 0 1
188 0 1 3 0 2 0 4 0
189 4 1 0 3 2 0 0 1
190 0 1 4 3 2 0 0 0
191 0 1 0 3 2 4 0 1
192 0 1 0 3 2 0 4 1
193 4 1 0 0 2 3 0 1
194 0 1 4 0 2 3 0 1
195 0 1 0 4 2 3 0 1
196 0 1 0 0 2 3 4 1
197 4 1 0 0 2 0 3 1
198 0 1 4 0 2 0 3 0
199 0 1 0 4 2 0 3 1
200 0 1 0 0 2 4 3 1
201 3 1 4 0 0 2 0 0
202 3 1 0 4 0 2 0 0
203 3 1 0 0 4 2 0 1
204 3 1 0 0 0 2 4 0
205 4 1 3 0 0 2 0 0
206 0 1 3 4 0 2 0 0
207 0 1 3 0 4 2 0 0
208 0 1 3 0 0 2 4 0
209 4 1 0 3 0 2 0 0
210 0 1 4 3 0 2 0 0
211 0 1 0 3 4 2 0 0
212 0 1 0 3 0 2 4 0
213 4 1 0 0 3 2 0 1
214 0 1 4 0 3 2 0 0
215 0 1 0 4 3 2 0 0
216 0 1 0 0 3 2 4 0
217 4 1 0 0 0 2 3 0
218 0 1 4 0 0 2 3 0
219 0 1 0 4 0 2 3 0
220 0 1 0 0 4 2 3 
1
221 3 1 4 0 0 0 2 0
222 3 1 0 4 0 0 2 0
223 3 1 0 0 4 0 2 1
224 3 1 0 0 0 4 2 1
225 4 1 3 0 0 0 2 0
226 0 1 3 4 0 0 2 0
227 0 1 3 0 4 0 2 0
228 0 1 3 0 0 4 2 0
229 4 1 0 3 0 0 2 0
230 0 1 4 3 0 0 2 0
231 0 1 0 3 4 0 2 0
232 0 1 0 3 0 4 2 0
233 4 1 0 0 3 0 2 1
234 0 1 4 0 3 0 2 0
235 0 1 0 4 3 0 2 0
236 0 1 0 0 3 4 2 0
237 4 1 0 0 0 3 2 1
238 0 1 4 0 0 3 2 0
239 0 1 0 4 0 3 2 0
240 0 1 0 0 4 3 2 0
241 2 3 1 4 0 0 0 0
242 2 3 1 0 4 0 0 0
243 2 3 1 0 0 4 0 1
244 2 3 1 0 0 0 4 0
245 2 4 1 3 0 0 0 1
246 2 0 1 3 4 0 0 0
247 2 0 1 3 0 4 0 1
248 2 0 1 3 0 0 4 0
249 2 4 1 0 3 0 0 1
250 2 0 1 4 3 0 0 1
251 2 0 1 0 3 4 0 1
252 2 0 1 0 3 0 4 1
253 2 4 1 0 0 3 0 1
254 2 0 1 4 0 3 0 1
255 2 0 1 0 4 3 0 1
256 2 0 1 0 0 3 4 1
257 2 4 1 0 0 0 3 0
258 2 0 1 4 0 0 3 0
259 2 0 1 0 4 0 3 0
260 2 0 1 0 0 4 3 1
261 3 2 1 4 0 0 0 0
262 3 2 1 0 4 0 0 1
263 3 2 1 0 0 4 0 1
264 3 2 1 0 0 0 4 0
265 4 2 1 3 0 0 0 0
266 0 2 1 3 4 0 0 0
267 0 2 1 3 0 4 0 0
268 0 2 1 3 0 0 4 0
269 4 2 1 0 3 0 0 1
270 0 2 1 4 3 0 0 0
271 0 2 1 0 3 4 0 0
272 0 2 1 0 3 0 4 0
273 4 2 1 0 0 3 0 1
274 0 2 1 4 0 3 0 0
275 0 2 1 0 4 3 0 1
276 0 2 1 0 0 3 4 0
277 4 2 1 0 0 0 3 0
278 0 2 1 4 0 0 3 0
279 0 2 1 0 4 0 3 0
280 0 2 1 0 0 4 3 0
281 3 4 1 2 0 0 0 1
282 3 0 1 2 4 0 0 0
283 3 0 1 2 0 4 0 1
284 3 0 1 2 0 0 4 0
285 4 3 1 2 0 0 0 1
286 0 3 1 2 4 0 0 0
287 0 3 1 2 0 4 0 0
288 0 3 1 2 0 0 4 0
289 4 0 1 2 3 0 0 0
290 0 4 1 2 3 0 0 0
291 0 0 1 2 3 4 0 0
292 0 0 1 2 3 0 4 0
293 4 0 1 2 0 3 0 1
294 0 4 1 2 0 3 0 0
295 0 0 1 2 4 3 0 1
296 0 0 1 2 0 3 4 1
297 4 0 1 2 0 0 3 0
298 0 4 1 2 0 0 3 0
299 0 0 1 2 4 0 3 0
300 0 0 1 2 0 4 3 1
301 3 4 1 0 2 0 0 1
302 3 0 1 4 2 0 0 1
303 3 0 1 0 2 4 0 1
304 3 0 1 0 2 0 4 1
305 4 3 1 0 2 0 0 1
306 0 3 1 4 2 0 0 0
307 0 3 1 0 2 4 0 1
308 0 3 1 0 2 0 4 0
309 4 0 1 3 2 0 0 1
310 0 4 1 3 2 0 0 0
311 0 0 1 3 2 4 0 0
312 0 0 1 3 2 0 4 1
313 4 0 1 0 2 3 0 1
314 0 4 1 0 2 3 0 1
315 0 0 1 4 2 3 0 1
316 0 0 1 0 2 3 4 1
317 4 0 1 0 2 0 3 1
318 0 4 1 0 2 0 3 0
319 0 0 1 4 2 0 3 1
320 0 0 1 0 2 4 3 1
321 3 4 1 0 0 2 0 1
322 3 0 1 4 0 2 0 1
323 3 0 1 0 4 2 0 1
324 3 0 1 0 0 2 4 1
325 4 3 1 0 0 2 0 1
326 0 3 1 4 0 2 0 0
327 0 3 1 0 4 2 0 1
328 0 3 1 0 0 2 4 0
329 4 0 1 3 0 2 0 1
330 0 4 1 3 0 2 0 0
331 0 0 1 3 4 2 0 1
332 0 0 1 3 0 2 4 0
333 4 0 1 0 3 2 0 1
334 0 4 1 0 3 2 0 1
335 0 0 1 4 3 2 0 1
336 0 0 1 0 3 2 4 1
337 4 0 1 0 0 2 3 1
338 0 4 1 0 0 2 3 0
339 0 0 1 4 0 2 3 0
340 0 0 1 0 4 2 3 1
341 3 4 1 0 0 0 2 0
342 3 0 1 4 0 0 2 0
343 3 0 1 0 4 0 2 0
344 3 0 1 0 0 4 2 1
345 4 3 1 0 0 0 2 0
346 0 3 1 4 0 0 2 0
347 0 3 1 0 4 0 2 0
348 0 3 1 0 0 4 2 0
349 4 0 1 3 0 0 2 0
350 0 4 1 3 0 0 2 0
351 0 0 1 3 4 0 2 0
352 0 0 1 3 0 4 2 0
353 4 0 1 0 3 0 2 0
354 0 4 1 0 3 0 2 0
355 0 0 1 4 3 0 2 0
356 0 0 1 0 3 4 2 0
357 4 0 1 0 0 3 2 1
358 0 4 1 0 0 3 2 0
359 0 0 1 4 0 3 2 0
360 0 0 1 0 4 3 2 1
361 2 3 4 1 0 0 0 1
362 2 3 0 1 4 0 0 1
363 2 3 0 1 0 4 0 1
364 2 3 0 1 0 0 4 1
365 2 4 3 1 0 0 0 1
366 2 0 3 1 4 0 0 0
367 2 0 3 1 0 4 0 1
368 2 0 3 1 0 0 4 0
369 2 4 0 1 3 0 0 1
370 2 0 4 1 3 0 0 1
371 2 0 0 1 3 4 0 1
372 2 0 0 1 3 0 4 1
373 2 4 0 1 0 3 0 1
374 2 0 4 1 0 3 0 0
375 2 0 0 1 4 3 0 1
376 2 0 0 1 0 3 4 1
377 2 4 0 1 0 0 3 1
378 2 0 4 1 0 0 3 0
379 2 0 0 1 4 0 3 0
380 2 0 0 1 0 4 3 1
381 3 2 4 1 0 0 0 1
382 3 2 0 1 4 0 0 1
383 3 2 0 1 0 4 0 1
384 3 2 0 1 0 0 4 1
385 4 2 3 1 0 0 0 1
386 0 2 3 1 4 0 0 0
387 0 2 3 1 0 4 0 0
388 0 2 3 1 0 0 4 0
389 4 2 0 1 3 0 0 1
390 0 2 4 1 3 0 0 0
391 0 2 0 1 3 4 0 0
392 0 2 0 1 3 0 4 0
393 4 2 0 1 0 3 0 1
394 0 2 4 1 0 3 0 0
395 0 2 0 1 4 3 0 0
396 0 2 0 1 0 3 4 1
397 4 2 0 1 0 0 3 1
398 0 2 4 1 0 0 3 0
399 0 2 0 1 4 0 3 0
400 0 2 0 1 0 4 3 1
401 3 4 2 1 0 0 0 1
402 3 0 2 1 4 0 0 0
403 3 0 2 1 0 4 0 1
404 3 0 2 1 0 0 4 0
405 4 3 2 1 0 0 0 1
406 0 3 2 1 4 0 0 0
407 0 3 2 1 0 4 0 0
408 0 3 2 1 0 0 4 0
409 4 0 2 1 3 0 0 0
410 0 4 2 1 3 0 0 0
411 0 0 2 1 3 4 0 0
412 0 0 2 1 3 0 4 0
413 4 0 2 1 0 3 0 1
414 0 4 2 1 0 3 0 0
415 0 0 2 1 4 3 0 1
416 0 0 2 1 0 3 4 1
417 4 0 2 1 0 0 3 0
418 0 4 2 1 0 0 3 0
419 0 0 2 1 4 0 3 0
420 0 0 2 1 0 4 3 1
421 3 4 0 1 2 0 0 1
422 3 0 4 1 2 0 0 1
423 3 0 0 1 2 4 0 1
424 3 0 0 1 2 0 4 1
425 4 3 0 1 2 0 0 1
426 0 3 4 1 2 0 0 0
427 0 3 0 1 2 4 0 1
428 0 3 0 1 2 0 4 1
429 4 0 3 1 2 0 0 1
430 0 4 3 1 2 0 0 0
431 0 0 3 1 2 4 0 0
432 0 0 3 1 2 0 4 1
433 4 0 0 1 2 3 0 1
434 0 4 0 1 2 3 0 1
435 0 0 4 1 2 3 0 0
436 0 0 0 1 2 3 4 1
437 4 0 0 1 2 0 3 1
438 0 4 0 1 2 0 3 1
439 0 0 4 1 2 0 3 1
440 0 0 0 1 2 4 3 1
441 3 4 0 1 0 2 0 1
442 3 0 4 1 0 2 0 0
443 3 0 0 1 4 2 0 1
444 3 0 0 1 0 2 4 1
445 4 3 0 1 0 2 0 1
446 0 3 4 1 0 2 0 0
447 0 3 0 1 4 2 0 0
448 0 3 0 1 0 2 4 1
449 4 0 3 1 0 2 0 0
450 0 4 3 1 0 2 0 0
451 0 0 3 1 4 2 0 0
452 0 0 3 1 0 2 4 1
453 4 0 0 1 3 2 0 1
454 0 4 0 1 3 2 0 0
455 0 0 4 1 3 2 0 0
456 0 0 0 1 3 2 4 1
457 4 0 0 1 0 2 3 1
458 0 4 0 1 0 2 3 1
459 0 0 4 1 0 2 3 1
460 0 0 0 1 4 2 3 1
461 3 4 0 1 0 0 2 1
462 3 0 4 1 0 0 2 0
463 3 0 0 1 4 0 2 0
464 3 0 0 1 0 4 2 1
465 4 3 0 1 0 0 2 1
466 0 3 4 1 0 0 2 0
467 0 3 0 1 4 0 2 0
468 0 3 0 1 0 4 2 1
469 4 0 3 1 0 0 2 0
470 0 4 3 1 0 0 2 0
471 0 0 3 1 4 0 2 0
472 0 0 3 1 0 4 2 1
473 4 0 0 1 3 0 2 0
474 0 4 0 1 3 0 2 0
475 0 0 4 1 3 0 2 0
476 0 0 0 1 3 4 2 1
477 4 0 0 1 0 3 2 1
478 0 4 0 1 0 3 2 1
479 0 0 4 1 0 3 2 1
480 0 0 0 1 4 3 2 1
481 2 3 4 0 1 0 0 1
482 2 3 0 4 1 0 0 1
483 2 3 0 0 1 4 0 1
484 2 3 0 0 1 0 4 1
485 2 4 3 0 1 0 0 1
486 2 0 3 4 1 0 0 1
487 2 0 3 0 1 4 0 1
488 2 0 3 0 1 0 4 1
489 2 4 0 3 1 0 0 1
490 2 0 4 3 1 0 0 1
491 2 0 0 3 1 4 0 1
492 2 0 0 3 1 0 4 1
493 2 4 0 0 1 3 0 1
494 2 0 4 0 1 3 0 1
495 2 0 0 4 1 3 0 1
496 2 0 0 0 1 3 4 1
497 2 4 0 0 1 0 3 1
498 2 0 4 0 1 0 3 1
499 2 0 0 4 1 0 3 1
500 2 0 0 0 1 4 3 1
501 3 2 4 0 1 0 0 1
502 3 2 0 4 1 0 0 1
503 3 2 0 0 1 4 0 1
504 3 2 0 0 1 0 4 1
505 4 2 3 0 1 0 0 1
506 0 2 3 4 1 0 0 0
507 0 2 3 0 1 4 0 1
508 0 2 3 0 1 0 4 0
509 4 2 0 3 1 0 0 1
510 0 2 4 3 1 0 0 0
511 0 2 0 3 1 4 0 1
512 0 2 0 3 1 0 4 1
513 4 2 0 0 1 3 0 1
514 0 2 4 0 1 3 0 1
515 0 2 0 4 1 3 0 1
516 0 2 0 0 1 3 4 1
517 4 2 0 0 1 0 3 1
518 0 2 4 0 1 0 3 0
519 0 2 0 4 1 0 3 1
520 0 2 0 0 1 4 3 1
521 3 4 2 0 1 0 0 1
522 3 0 2 4 1 0 0 1
523 3 0 2 0 1 4 0 1
524 3 0 2 0 1 0 4 1
525 4 3 2 0 1 0 0 1
526 0 3 2 4 1 0 0 0
527 0 3 2 0 1 4 0 1
528 0 3 2 0 1 0 4 0
529 4 0 2 3 1 0 0 1
530 0 4 2 3 1 0 0 0
531 0 0 2 3 1 4 0 0
532 0 0 2 3 1 0 4 1
533 4 0 2 0 1 3 0 1
534 0 4 2 0 1 3 0 1
535 0 0 2 4 1 3 0 0
536 0 0 2 0 1 3 4 1
537 4 0 2 0 1 0 3 1
538 0 4 2 0 1 0 3 0
539 0 0 2 4 1 0 3 1
540 0 0 2 0 1 4 3 1
541 3 4 0 2 1 0 0 1
542 3 0 4 2 1 0 0 1
543 3 0 0 2 1 4 0 1
544 3 0 0 2 1 0 4 1
545 4 3 0 2 1 0 0 1
546 0 3 4 2 1 0 0 0
547 0 3 0 2 1 4 0 1
548 0 3 0 2 1 0 4 1
549 4 0 3 2 1 0 0 1
550 0 4 3 2 1 0 0 0
551 0 0 3 2 1 4 0 0
552 0 0 3 2 1 0 4 1
553 4 0 0 2 1 3 0 1
554 0 4 0 2 1 3 0 1
555 0 0 4 2 1 3 0 0
556 0 0 0 2 1 3 4 1
557 4 0 0 2 1 0 3 1
558 0 4 0 2 1 0 3 1
559 0 0 4 2 1 0 3 1
560 0 0 0 2 1 4 3 1
561 3 4 0 0 1 2 0 1
562 3 0 4 0 1 2 0 1
563 3 0 0 4 1 2 0 1
564 3 0 0 0 1 2 4 1
565 4 3 0 0 1 2 0 1
566 0 3 4 0 1 2 0 1
567 0 3 0 4 1 2 0 1
568 0 3 0 0 1 2 4 1
569 4 0 3 0 1 2 0 1
570 0 4 3 0 1 2 0 1
571 0 0 3 4 1 2 0 0
572 0 0 3 0 1 2 4 1
573 4 0 0 3 1 2 0 1
574 0 4 0 3 1 2 0 1
575 0 0 4 3 1 2 0 0
576 0 0 0 3 1 2 4 1
577 4 0 0 0 1 2 3 1
